question, choice1, choice2, choice3, choice4,  question_word, correct_answer
自分で旅行を計画するのは楽しいです。, じぶん, ちっぷん, じっぷん, ちぶん, 自分, 1
自分で旅行を計画するのは楽しいです。, りゅうこ, りょうこ, りょこう, りゅこう, 旅行, 3
自分で旅行を計画するのは楽しいです。, けいかく, けいが, げいかく, けが, 計画, 1
自分で旅行を計画するのは楽しいです。, うれしい, うつくしい, たのしい, いそがしい, 楽しい, 3
この学生は毎日地下鉄で大学に通っています。, じげてつ, じがてつ, ちげてつ, ちかてつ, 地下鉄, 4
この学生は毎日地下鉄で大学に通っています。, たいがく, だいかく, たいかく, だいがく, 大学, 4
この学生は毎日地下鉄で大学に通っています。, かえって, かよって, かおって, いって, 通って, 2
姉がいつも食事の用意をしてくれます。, いもうと, おとうと, あね, あに, 姉, 3
姉がいつも食事の用意をしてくれます。, しょくじ, しょうじ, そうじ, そくじ, 食事, 1
姉がいつも食事の用意をしてくれます。, よい, ようい, よじ, ようじ, 用意, 2
彼女は硬直したようにうごかない。, 動かない, 働かない, 重かない, 衝かない, うごかない, 1
奈良と京都は日本の古い都です。, みなと, ふるさと, みやこ, いなか, 都, 3
趣味としてじゅうどうを習うつもりです。, しゅみ, きょうみ, ちゅみ, ちょうみ, 趣味, 1
きゅうに空が暗くなりました。, 早に, 速に, 突に, 急に, きゅうに, 4
兄が入院したので、花を持ってお見舞いに行った。, おみあい, おみまい, おけんまい, おけんあい, お見舞い, 2
のどがかわいています。水が飲みたいです。, 乾いて, 変いて, 掛いて, 渇いて, かわいて, 4
先生の奥さんはとても優しいです。, きびしい, やさしい, たのしい, したしい, 優しい, 2
ディズニーランドで姉に人形を買ってやった。, にんけい, じんけい, にんぎょう, じんぎょう, 人形, 3
おばあさんが昔のいろんな物語を話してくれた。, ものはなし, ものばなし, ものかたり, ものがたり, 物語, 4
友達がいなくて、さびしいです。, 悲しい, 厳しい, 美しい, 寂しい, さびしい, 4
